cellid_source,cellid_sink,moistureflow_volume
12116,9394,205695.14306667345
12116,9550,1.966442890833055
12116,9551,1.0759501586197873
12116,9552,0.0028612019238104885
12116,9553,0.0031637102805742176
12116,9554,0.0028612019238104885
12116,9555,0.43547013649035915
12116,9556,133.93856086634844
12116,9557,4.8586444006486404
12116,9558,40.098419929334206
12116,9559,0.17624816377943747
12116,9560,9122.837063093506
12116,9561,1222.2666742436415
12116,9562,221.38419629560818
12116,9563,0.17624816377943747
12116,9564,19.84220252150709
12116,9565,447.38765563739247
12116,9566,0.012920266422080042
12116,9567,14.67727007942014
12116,9568,546.9912656695959
12116,9569,2.6584342916464836
12116,9570,739.4775330958855
12116,9571,1105.3957061835058
12116,9572,3019.949961728864
12116,9573,2020.2585691983406
12116,9574,8250.527589648684
12116,9575,13637.121435638941
12116,9576,8250.527589648684
12116,9577,12333.164110022573
12116,9578,16673.205485615705
12116,9579,27558.7864482718
12116,9580,10087.373828574322
12116,9581,33694.30356361041
12116,9582,30472.51411407964
12116,9583,18436.025491943852
12116,9584,20385.224438865658
12116,9585,41195.79411697658
12116,9586,61580.8484932306
12116,9587,45551.33151550691
12116,9588,50367.369953928064
12116,9589,50367.369953928064
12116,9590,55692.597157390126
12116,9591,83251.1536980045
12116,9592,92053.10839204068
12116,9593,112547.24093011927
12116,9594,124446.60414133909
12116,9595,101785.67369018779
12116,9596,112547.24093011927
12116,9597,83251.1536980045
12116,9598,112547.24093011927
12116,9599,137604.05989807454
12116,9600,101785.67369018779
12116,9601,186026.9388997338
12116,9602,205695.14306667345
12116,9603,124446.60414133909
12116,9604,227442.82162286228
12116,9605,152152.62345710752
12116,9606,168239.37347508586
12116,9755,0.01931364563020781
12116,9756,0.002587618878720772
12116,9757,0.43547013649035915
12116,9760,0.8800265182631856
12116,9761,0.719779319369097
12116,9762,0.002587618878720772
12116,9763,0.0028612019238104885
12116,9764,0.0028612019238104885
12116,9765,0.0028612019238104885
12116,9766,7.262863870744706
12116,9767,0.1593956274600038
12116,9768,1.7784151149560372
12116,9769,447.38765563739247
